Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,kingdom,ordername,phylum,species,taxonomicAuthority
63184,"<span style=""font-weight: bold;"">A-group</span>.  <em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,63184,ANIMALIA,ODONATA,ARTHROPODA,caffrum,"(Burmeister, 1939)"
63185,"<span style=""font-weight: bold;"">A-group</span>.  <em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,63185,ANIMALIA,ODONATA,ARTHROPODA,furcigerum,"(Rambur, 1842)"
63191,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,63191,ANIMALIA,ODONATA,ARTHROPODA,umbratus,"Hagen in Selys, 1862"
63193,,INSECTA,AESHNIDAE,Zosteraeschna,,,,63193,ANIMALIA,ODONATA,ARTHROPODA,minuscula,"(MacLachlan, 1896)"
63194,"<span style=""font-style: italic;"">Aeschna subpupillata</span> is now placed in the genus <span style=""font-style: italic;"">Pinheyschna</span> (Peters and Theischinger 2011).",INSECTA,AESHNIDAE,Pinheyschna,,,,63194,ANIMALIA,ODONATA,ARTHROPODA,subpupillata,"(McLachlan, 1896)"
63195,,INSECTA,COENAGRIONIDAE,Proischnura,,,,63195,ANIMALIA,ODONATA,ARTHROPODA,rotundipennis,"(Ris, 1921)"
63201,,INSECTA,PLATYCNEMIDIDAE,Allocnemis,,,,63201,ANIMALIA,ODONATA,ARTHROPODA,leucosticta,"Selys, 1863"
63202,,INSECTA,NOT ASSIGNED,Syncordulia,,,,63202,ANIMALIA,ODONATA,ARTHROPODA,gracilis,"(Burmeister, 1839)"
63203,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,63203,ANIMALIA,ODONATA,ARTHROPODA,conspicuus,"Selys, 1862"
63204,,INSECTA,LIBELLULIDAE,Orthetrum,,,,63204,ANIMALIA,ODONATA,ARTHROPODA,robustum,"Balinsky, 1965"
63208,,INSECTA,CHLOROCYPHIDAE,Platycypha,,,,63208,ANIMALIA,ODONATA,ARTHROPODA,fitzsimonsi,"Pinhey, 1950"
63212,,INSECTA,GOMPHIDAE,Crenigomphus,,,,63212,ANIMALIA,ODONATA,ARTHROPODA,cornutus,"Pinhey, 1956"
63214,"<em>&#160;Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". <em>P. makabusiense</em> is an A-group species. The taxonomy of the species is likely to requires reform.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,63214,ANIMALIA,ODONATA,ARTHROPODA,makabusiense,"Pinhey, 1950"
63216,,INSECTA,PLATYCNEMIDIDAE,Elattoneura,,,,63216,ANIMALIA,ODONATA,ARTHROPODA,frenulata,"(Selys, 1860)"
63218,,INSECTA,COENAGRIONIDAE,Africallagma,,,,63218,ANIMALIA,ODONATA,ARTHROPODA,sapphirinum,"(Pinhey, 1950)"
63219,,INSECTA,COENAGRIONIDAE,Proischnura,,,,63219,ANIMALIA,ODONATA,ARTHROPODA,polychromatica,"(Barnard, 1937)"
158578,,INSECTA,MACROMIIDAE,Phyllomacromia,,,,158578,ANIMALIA,ODONATA,ARTHROPODA,contumax,"Selys, 1879"
167478,,INSECTA,LIBELLULIDAE,Macrodiplax,,,,167478,ANIMALIA,ODONATA,ARTHROPODA,cora,"(Kaup in Brauer, 1867)"
168007,"Regarded as <em>Hemicordulia asiatica </em>Selys, 1878 but according to Dijkstra (pers. comm.) this is a separate species. There are major taxonomic uncertainties around this taxon.",INSECTA,CORDULIIDAE,Hemicordulia,,,,168007,ANIMALIA,ODONATA,ARTHROPODA,africana,"Dijkstra, 2007"
168013,See Dijkstra (2006) for taxonomy.,INSECTA,LIBELLULIDAE,Diplacodes,,,,168013,ANIMALIA,ODONATA,ARTHROPODA,pumila,"Dijkstra, 2006"
168022,"<span style=""font-weight: bold;"">A-group</span>.<span style=""font-weight: bold;"">  </span><em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,168022,ANIMALIA,ODONATA,ARTHROPODA,draconis,"Barnard, 1937"
184261,<em>Philonomon luminans</em> is junior synonym to <em>Diplacodes luminans</em> (Dijkstra 2006).,INSECTA,LIBELLULIDAE,Diplacodes,,,,184261,ANIMALIA,ODONATA,ARTHROPODA,luminans,"(Karsch, 1893)"
56258107,"Formerly <em>Acisoma panorpoides</em> was thought to occur in Africa, Madagascar and Asia. Recent taxonomic and genetic studies showed, that in Asia the true <em>A. panorpoides</em> occurs, while two different species each occur in Madagascar and continental Africa. The latter are separated in <em>A. variegatum</em> and in <em>A. inflatum</em>, both of them being described long ago and neglected since (Dijkstra and Clausnitzer 2014).",INSECTA,LIBELLULIDAE,Acisoma,,,,56258107,ANIMALIA,ODONATA,ARTHROPODA,variegatum,"Kirby, 1898"
